extraction_date,platform,content,url
2025-07-25,LinkedIn,urn:li:activity:7354144028436713472,https://www.linkedin.com/feed/update/urn:li:activity:7354144028436713472?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7353342491464499201,https://www.linkedin.com/feed/update/urn:li:activity:7353342491464499201?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7353310347857969153,https://www.linkedin.com/feed/update/urn:li:activity:7353310347857969153?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7352666993885401089,https://www.linkedin.com/feed/update/urn:li:activity:7352666993885401089?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7352370346697633793,https://www.linkedin.com/feed/update/urn:li:activity:7352370346697633793?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7352247906155851778,https://www.linkedin.com/feed/update/urn:li:activity:7352247906155851778?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7352177032291643393,https://www.linkedin.com/feed/update/urn:li:activity:7352177032291643393?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7352011828085837825,https://www.linkedin.com/feed/update/urn:li:activity:7352011828085837825?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7351806498479513602,https://www.linkedin.com/feed/update/urn:li:activity:7351806498479513602?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7351499334661599232,https://www.linkedin.com/feed/update/urn:li:activity:7351499334661599232?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7351493014122364929,https://www.linkedin.com/feed/update/urn:li:activity:7351493014122364929?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7350916474800140288,https://www.linkedin.com/feed/update/urn:li:activity:7350916474800140288?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7350878004547346433,https://www.linkedin.com/feed/update/urn:li:activity:7350878004547346433?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7350560055882051585,https://www.linkedin.com/feed/update/urn:li:activity:7350560055882051585?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7348181291424497664,https://www.linkedin.com/feed/update/urn:li:activity:7348181291424497664?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7348018532883804160,https://www.linkedin.com/feed/update/urn:li:activity:7348018532883804160?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7347136728689725440,https://www.linkedin.com/feed/update/urn:li:activity:7347136728689725440?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7347675686951653376,https://www.linkedin.com/feed/update/urn:li:activity:7347675686951653376?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7346863415178539008,https://www.linkedin.com/feed/update/urn:li:activity:7346863415178539008?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7346514180922859523,https://www.linkedin.com/feed/update/urn:li:activity:7346514180922859523?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7346164180334387201,https://www.linkedin.com/feed/update/urn:li:activity:7346164180334387201?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7346153964171628546,https://www.linkedin.com/feed/update/urn:li:activity:7346153964171628546?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7347150855424417792,https://www.linkedin.com/feed/update/urn:li:activity:7347150855424417792?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7346056469164761089,https://www.linkedin.com/feed/update/urn:li:activity:7346056469164761089?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7345673774417047552,https://www.linkedin.com/feed/update/urn:li:activity:7345673774417047552?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7345389681594822656,https://www.linkedin.com/feed/update/urn:li:activity:7345389681594822656?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7344922371268505600,https://www.linkedin.com/feed/update/urn:li:activity:7344922371268505600?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7343993178632458241,https://www.linkedin.com/feed/update/urn:li:activity:7343993178632458241?collapsed=1
